#{"t_start": 1725717948.791187, "env_id": null}
r,l,t
0.0,9,22.021287
0.0,5,22.028324
1.0,300,22.400672
0.0,8,22.411747
0.0,5,22.418871
0.0,5,22.426014
0.0,5,22.433043
0.0,4,22.438914
0.0,3,22.444087
1.0,300,22.816165
1.0,300,23.186964
0.0,3,23.191853
1.0,300,23.560805
1.0,300,24.750201
1.0,300,25.117299
1.0,300,25.485852
0.0,5,25.49319
0.0,5,25.500332
0.0,5,25.508062
0.0,44,25.564612
0.0,5,25.57171
0.0,5,25.578702
0.0,5,25.585747
1.0,300,25.957045
0.0,57,26.030727
1.0,300,26.404503
0.0,5,26.41181
1.0,300,26.782079
1.0,300,27.976879
0.0,4,27.983546
0.0,5,27.990811
0.0,5,27.998113
0.0,207,28.256751
0.0,5,28.264051
1.0,300,28.635572
1.0,300,29.006396
1.0,300,29.375201
0.0,183,29.603308
1.0,300,29.973391
0.0,5,29.981281
0.0,73,30.072664
0.0,4,30.078435
0.0,8,30.089211
0.0,285,31.259219
1.0,300,31.631166
0.0,3,31.635915
0.0,81,31.736718
1.0,300,32.106053
0.0,3,32.111423
0.0,4,32.11769
1.0,300,32.488749
1.0,300,32.857454
1.0,300,33.227828
1.0,300,33.597806
0.0,3,33.602646
1.0,300,34.793459
1.0,300,35.168622
1.0,300,35.542988
1.0,300,35.915394
0.0,29,35.953241
1.0,300,36.327355
1.0,300,36.698473
0.0,12,36.714539
0.0,65,36.797113
1.0,300,37.990367
0.0,5,37.997697
1.0,300,38.371592
0.0,46,38.429675
0.0,3,38.434939
1.0,300,38.80881
1.0,300,39.18044
1.0,300,39.554709
1.0,300,40.164612
1.0,300,40.550342
1.0,300,41.746402
1.0,300,42.116649
1.0,300,42.485807
1.0,300,42.85614
1.0,300,43.22587
1.0,300,43.596297
1.0,300,43.965742
1.0,300,45.144864
1.0,300,45.511887
1.0,300,45.880186
1.0,300,46.250793
1.0,300,46.618132
0.0,63,46.697756
1.0,300,47.066054
1.0,300,48.249913
1.0,300,48.623077
1.0,300,48.99697
1.0,300,49.368386
1.0,300,49.736925
1.0,300,50.104129
1.0,300,50.472504
1.0,300,51.670108
1.0,300,52.04098
1.0,300,52.411944
0.0,14,52.431044
1.0,300,52.803762
1.0,300,53.176993
1.0,300,53.545053
1.0,300,53.914089
1.0,300,55.109505
1.0,300,55.48758
1.0,300,55.859739
1.0,300,56.228443
1.0,300,56.596523
0.0,9,56.609377
1.0,300,56.983036
1.0,300,57.354182
1.0,300,58.535189
1.0,300,58.9059
1.0,300,59.27617
1.0,300,59.646387
1.0,300,60.015811
1.0,300,60.384412
1.0,300,60.753125
1.0,300,61.939849
1.0,300,62.313276
1.0,300,62.681746
1.0,300,63.050697
1.0,300,63.418563
1.0,300,63.786344
1.0,300,64.156195
1.0,300,65.342708
1.0,300,65.712151
1.0,300,66.0802
1.0,300,66.449198
1.0,300,66.822919
1.0,300,67.343471
1.0,300,68.53248
1.0,300,68.903042
1.0,300,69.274305
1.0,300,69.643617
1.0,300,70.011581
