#{"t_start": 1725716920.5609028, "env_id": null}
r,l,t
0.0,5,17.012042
0.0,69,17.055313
0.0,6,17.060264
1.0,300,17.239068
1.0,300,17.421138
0.0,91,17.476588
0.0,5,17.480802
1.0,300,17.661041
0.0,5,17.665235
1.0,300,18.677694
0.0,5,18.681921
1.0,300,18.862747
1.0,300,19.044311
0.0,159,19.142864
0.0,117,19.214631
0.0,4,19.218236
1.0,300,19.398658
0.0,24,19.414202
0.0,122,19.488781
0.0,180,19.597235
0.0,6,19.602007
0.0,254,19.755678
0.0,3,19.75865
1.0,300,20.777186
1.0,300,20.956359
1.0,300,21.135081
1.0,300,21.314695
0.0,21,21.328214
1.0,300,21.506726
0.0,5,21.510622
1.0,300,21.688553
1.0,300,22.708519
1.0,300,22.887664
1.0,300,23.067454
0.0,5,23.071465
0.0,5,23.075475
1.0,300,23.253727
0.0,215,23.382496
0.0,5,23.386548
1.0,300,23.564972
0.0,5,23.56893
1.0,300,23.748175
1.0,300,24.761496
1.0,300,24.940021
1.0,300,25.11839
0.0,108,25.183287
1.0,300,25.361427
0.0,72,25.405569
1.0,300,25.584934
1.0,300,25.76559
1.0,300,25.945141
1.0,300,26.957116
1.0,300,27.137357
1.0,300,27.318612
1.0,300,27.500192
1.0,300,27.680188
0.0,62,27.718582
0.0,37,27.74211
1.0,300,27.923142
1.0,300,28.986146
1.0,300,29.166692
0.0,23,29.182169
0.0,3,29.185479
1.0,300,29.372101
1.0,300,29.632989
1.0,300,29.899658
1.0,300,30.14884
1.0,300,30.353919
1.0,300,31.551758
1.0,300,31.747055
0.0,15,31.757887
1.0,300,31.959653
0.0,87,32.015301
1.0,300,32.231782
0.0,109,32.303654
1.0,300,32.541176
0.0,104,32.60576
1.0,300,32.793896
1.0,300,33.886718
1.0,300,34.065548
1.0,300,34.254811
1.0,300,34.442848
1.0,300,34.627466
1.0,300,34.806221
1.0,300,35.880739
1.0,300,36.074946
1.0,300,36.25974
1.0,300,36.455103
1.0,300,36.639508
1.0,300,36.825937
1.0,300,37.009645
1.0,300,38.059974
1.0,300,38.251664
1.0,300,38.437032
1.0,300,38.63282
1.0,300,38.815044
1.0,300,39.003776
0.0,3,39.006747
1.0,300,39.192576
1.0,300,40.267635
1.0,300,40.449412
1.0,300,40.633877
1.0,300,40.817151
1.0,300,40.998216
1.0,300,41.178728
1.0,300,41.367519
0.0,202,42.337754
0.0,258,42.492475
1.0,300,42.673459
1.0,300,42.853135
1.0,300,43.034263
1.0,300,43.215297
1.0,300,43.397906
1.0,300,44.456659
1.0,300,44.637728
1.0,300,44.81956
0.0,76,44.867299
0.0,22,44.882274
1.0,300,45.074383
1.0,300,45.267156
1.0,300,45.460603
1.0,300,45.646697
1.0,300,46.696871
0.0,176,46.803157
0.0,74,46.84753
1.0,300,47.025913
1.0,300,47.208698
1.0,300,47.388557
1.0,300,47.566925
1.0,300,47.746359
1.0,300,48.7528
1.0,300,48.929489
0.0,3,48.932691
1.0,300,49.11227
1.0,300,49.291535
1.0,300,49.469884
1.0,300,49.648116
1.0,300,49.83077
0.0,250,50.954556
1.0,300,51.132538
1.0,300,51.312358
1.0,300,51.498695
1.0,300,51.683948
1.0,300,51.868087
1.0,300,52.049208
1.0,300,53.159845
0.0,38,53.184606
1.0,300,53.369296
1.0,300,53.563941
1.0,300,53.74533
1.0,300,53.924747
1.0,300,54.104084
1.0,300,55.127748
1.0,300,55.307212
1.0,300,55.486521
1.0,300,55.665103
1.0,300,55.843791
1.0,300,56.022965
1.0,300,56.202205
1.0,300,57.213701
1.0,300,57.393475
1.0,300,57.575164
1.0,300,57.754773
1.0,300,57.93542
1.0,300,58.114382
1.0,300,58.294478
1.0,300,59.432871
1.0,300,59.622143
1.0,300,59.810894
1.0,300,59.996722
1.0,300,60.179089
0.0,42,60.206944
1.0,300,60.390375
1.0,300,60.571013
1.0,300,61.630329
0.0,170,61.733383
1.0,300,61.918568
0.0,136,62.005389
1.0,300,62.190286
1.0,300,62.382981
1.0,300,62.569173
1.0,300,63.672843
1.0,300,63.854072
1.0,300,64.036857
1.0,300,64.221529
1.0,300,64.410316
1.0,300,64.594211
1.0,300,64.778684
1.0,300,65.871133
1.0,300,66.05499
0.0,232,66.195199
1.0,300,66.37612
1.0,300,66.55745
1.0,300,66.739756
1.0,300,66.982498
1.0,300,69.842631
1.0,300,70.045534
1.0,300,70.228982
1.0,300,70.519512
1.0,300,71.084116
1.0,300,71.443831
1.0,300,72.068646
1.0,300,73.467395
1.0,300,73.650227
1.0,300,73.834207
1.0,300,74.023223
1.0,300,74.208307
1.0,300,74.391538
1.0,300,74.574562
1.0,300,75.665214
1.0,300,75.848929
1.0,300,76.027382
1.0,300,76.207418
1.0,300,76.386896
1.0,300,76.565833
1.0,300,76.744052
1.0,300,77.776562
1.0,300,77.954954
1.0,300,78.139197
1.0,300,78.317517
1.0,300,78.497567
1.0,300,78.680436
1.0,300,78.862366
1.0,300,79.969717
1.0,300,80.14999
1.0,300,80.331748
1.0,300,80.509494
1.0,300,80.687398
1.0,300,80.86771
1.0,300,81.903196
1.0,300,82.081732
1.0,300,82.259235
1.0,300,82.43813
1.0,300,82.623301
1.0,300,82.803695
1.0,300,82.982331
1.0,300,84.181741
1.0,300,84.361522
1.0,300,84.541611
1.0,300,84.721957
0.0,59,84.758779
1.0,300,84.941189
1.0,300,85.12083
1.0,300,85.300626
1.0,300,86.342483
1.0,300,86.524684
1.0,300,86.704622
1.0,300,86.888236
1.0,300,87.06778
1.0,300,87.24619
1.0,300,87.42653
1.0,300,88.502396
1.0,300,88.684943
1.0,300,88.86517
1.0,300,89.043997
1.0,300,89.227245
1.0,300,89.408609
1.0,300,89.58954
1.0,300,90.638193
